Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
15_childdescendant		s a ¹ ʔ j a ³	s e ¹ ʔ e ³	s a ³ ʔ j a ³	s e ³ ʔ e ³	s e ¹ ʔ e	ð e ʔ e	s e ¹ ʔ e	i ʔ j a	s e ¹ ʔ e ³	ð e ¹ ʔ e ³	h a ʔ ʒ i	s e ¹ ʔ e ³	s a ¹ ʔ ʒ a ³	s e ¹ ʔ e ³	s e ʔ e	h a ʔ j i	θ e ¹ ʔ e ³	s a ʔ a	t a n i	d a ³ ʔ n ĩ ³²	ð a ʔ a	ð e ¹ ʔ e ³	ð a ʔ a	s e ʔ e	ð a ʔ a	s e ʔ e	s e ¹ ʔ e ³	s e ʔ e	h a ¹ ʔ ʒ i ³	ð e ¹ ʔ e ³	h a ʔ ʒ i	i ⁵ ʔ ʃ a ⁵	s e ³ ʔ e ³	t a ʔ n i ⁵	ð i ¹ tʃ i ¹	s e ¹ ʔ e ³	s e ʔ e	ð a ʔ ʒ a	ð e ʔ e	ð a j a	s e ʔ e	h e ʔ e	s e ³ ʔ e ⁵	s e ³ ʔ e ³	θ a ʔ ʒ i	t a ³ ʔ n ĩ h ⁵	s e ʔ e	ð a ʔ ʒ a	s e ʔ e	θ e ʔ e	ð a ʔ a	s e ¹ ʔ e ³	ð a ʔ ʒ a	s e ʔ e	s e ʔ e	ð a ʔ a	s e ¹ ʔ e ³	ð a ʔ a	s e ʔ e	s e ʔ e	ð a ʔ j a	h a ¹ j a ³	s e ʔ e	i ʔ ʒ a	ð a ʔ ʒ a	s e ʔ e	ð e ʔ e	s e ʔ e	s e ʔ e	s e ʔ e	s e ʔ e	ð a ʔ a	ð e ʔ e	s e ʔ e	s e ʔ e	ð a ³ j a ³	ð e ⁵ ʔ e ¹	s e ʔ e	s e ¹ ʔ j a ³	s e ¹ ʔ e ³	s e ʔ e	ð a ʔ a	ð e ¹ ʔ e ³	ð e ʔ e	ð a ʔ a	s e ʔ e	s e ³ ʔ e ¹	s e ʔ e	s e ¹ ʔ j a	s e ʔ e	θ e ʔ i	θ a ʔ j a	ð a ʔ ʒ a	s e ³ ʔ e ³	s e ⁵ ʔ e ³	ð a ʔ ʒ a	ð e ʔ e	s e ¹ ʔ e ³	s e ʔ e	s i ³ ʔ e ¹	ð e ʔ e	s e ³ ʔ e ¹	ð e ¹ ʔ e ³	s e ¹ ʔ e ³	s e ¹ ʔ e ³	s e ¹ ʔ e ³	h e ¹ ʔ e ³	θ e ¹ ʔ e ³	ð e ʔ e
160_cold	β i ⁵ ts i ³	β i ¹ ʃ ĩ ³	β i ¹ ʃ ĩ ³	w i ¹ ʃ ĩ ³	β ĩ ¹ x ĩ ³	β i ʃ ĩ	k a ʃ ĩ	w i ʃ ĩ	w i x ĩ	β i ¹ ʃ ĩ ³	β i s i	β i s i	β i ¹ ts i ³	β i ¹ h ĩ ³	β i ¹ ʃ ĩ ³	β i tʃ ĩ	β i ⁵ s i ¹	w i tʃ i	β i x ĩ		n u w i h ³	β i ʃ ĩ	β i ¹ ʃ i ³	w i x i	w i tʃ ĩ	β i ʃ i	β i ʃ ĩ	m i ¹ x ĩ ³	w i tʃ ĩ	β i ³ ʃ i ³	β i ¹ ʃ ĩ ³	β i ʃ i	β i ʃ ĩ ⁵	β i ³ ts ĩ ³		β i ⁵ ʃ i ⁵	β i ¹ ts i ³	β i x ĩ	w i ʃ ɨ	w i x ĩ	i tʃʲ a	w i tʃ i	β i ʃ i	β i ¹ ʃ ĩ ³	β i ¹ ɕ ĩ ³	β i ʃ ĩ	n u ² β i h ³	β i s ĩ	m ĩ ĩ	β i x ĩ	β i ʃ i	w i ʃ i	β i ¹ x ĩ	m ĩ ĩ	w i tʃ ĩ	β i tʃ ĩ	w i ɕ i	β i ¹ x ĩ ³	w i ʃ i	w i tʃ i		w i s i	β i ¹ s i ³	β i ʃʲ i	w ĩ x ĩ	w i ʃ i	w i tʃ ĩ	β i s i	w i ʃ ĩ	β i x ĩ	β i x ĩ	w i s ĩ	w i ʃ i	w i ʃ ĩ	w i tʃ ĩ	β i tʃ ĩ	i ³ tʃ a ⁴	β i ⁵ ʃ i ¹	β i ʃ ĩ	β i ¹ x ĩ ³	β i ¹ ʃ ĩ ³	β i ³ tʃ ĩ ³¹	β i ʃ i	β i ¹ ʃ i ³	k ã s i	w i ʃ i	β i tʃ ĩ	β i tʃ ĩ	β i ʂ i	β i ¹ x ĩ ³	β i tʃ i	β i ʃ i	β i ʂ ĩ	w i ʃ i	β i ¹ x ĩ ¹	β i ⁵ ʃ ĩ ¹	w i ʃ ĩ	w i ʃ ĩ	β ĩ ¹ x ĩ ³	β i ¹ ʃ ĩ	β i ¹ ʃ ĩ ¹	w i ʃ i	β i ¹ ʃ ĩ ³	β i ¹ ʃ ĩ ³	β i ¹ ʃ ĩ ³	β i ¹ ʃ ĩ ³	β i ¹ ts i ³	β i ʃ i	β i ¹ ʃ i ³	k a ʃ i
161_comb	kʷ i ³ k a ³	kʷ i ¹ k a ¹	β i k a	kʷ i k a	k u ⁵ k a ¹	kʷ i k a	kʷ i k a	kʷ i k a	k u k a	β i ¹ k a ¹	kʷ i ¹ k a ¹	kʷ i k a	kʷ i ¹ k a ¹	k u ³ k a ¹	kʷ i ³ h k a ¹	k u k a	kʷ i ³ k a ¹	k u k a	k u k a	g u ts i ʔ i ʔ a	g u ³ ts i ʔ ³	k u k a	kʷ i ³ k a ¹	k u k a	k u k a	k u kʷ a	k u kʷ a	k u ³ k a ¹	w i k a			kʷ i k a	k u k a	k u ¹ k a ¹			kʷ i ¹ k a ¹	kʷ i k a	k u k a	k u k a	k a k a	k u k a		kʷ i ³ k a ¹	kʷ i ¹ k a ¹	kʷ i k a		kʷ i k a	k u k a	k u kʷ a	kʷ i ¹ k a ¹	k u kʷ a	k u ³ k a ¹	k u k a	k u k a	k u k a	k u kʷ a	k u k a	k u k a	k u k a		k u kʷ a	kʷ i ¹ k a ¹	kʷ i ¹ k a ¹	k u k a	k u k a	k u k a	kʷ i k a	kʷ i k a	k u k a	k u k a	k u k a	k u k a	kʷ i k a	k u k a	k u k a	k a ⁴ k a ¹		k u k a	k u ¹ k a ¹	ð i ¹ k a ¹	kʷ i k a	k u kʷ a	k u ¹ k a ¹	kʷ i k a	k u kʷ a	k u k a	k u k a	kʷ i ¹ k a ¹	k u ¹ k a ¹	k u k a	kʷ i ¹ k a ¹	k u k u	k u k a	k u k a	k u ⁵ kʷ a ¹	k u k u	kʷ i k a	kʷ i ¹ k a ¹	k u k a	β i̥ ³ k a	kʷ i k a	kʷ i ³ k a ¹	kʷ i ¹ k a ¹		β i ¹ k a ¹	kʷ i ¹ k a ¹	kʷ i ¹ k a ¹		kʷ i k a
162_dream	m a ¹ ʔ n a ³		ʃ a ² n i ²		x a ¹ n i ³					ʃ a ¹⁵ n i ³				ɲ u ¹ + m a ¹ ʔ n a ⁵	ʃ a ¹ n i ¹			ɲ i + m a ʔ n a		nː e ʔ e ʔ a	n e h ³²		s a ¹ n i ³											ɲ u ⁵ + m a ³ a ³ ʔ n a ⁵										ʃ a ¹ n i ¹			nː e ɦ ³														h a n i	s a n i															j ã ³					tʃ a ³ n i ³																					ʃ a ¹ n i ³			ʃ a ¹³ n i ²			s a ¹ n i ³	
163_dust	ʒ a ³ k a ³	j a ¹ a ¹			t ɨ ³ + k a ³ tʃ a ³ a ¹					j u ³ tʃ i ⁵			j a ¹⁵ k a ³	ʒ u ³ tʃ i ³	j a ⁵ h k a ¹⁵			ɲ i + j a k a			j a h ³		ɲ o ¹ + j a ¹ k a ⁵											j u ³ tʲ i ³							i j a k a			j a ³ k a ¹⁵	m a ³ tʃ i ³		n i ³ n ə̃ h ³															m i ʔ i	j a ¹ k a ⁵														j u ¹ n i ¹				tʃ e ³ ʔ e ¹	j u + j a k a																					j a ⁵ k a ³			j u ³ tʃ i ⁵	ɲ u ³ ʔ u ⁵			
164_feather	t u ⁵ m i ³	t õ ¹ m ĩ	t u ² m i ²	tⁿ õ m ĩ	t ũ ³ ũ ³	t ũ ³ m ĩ	t ũ m ĩ	t ũ m ĩ	i ð i	t u ¹ m i ³	t ũ m ĩ	t õ ¹ m ĩ ³	t u ¹ m i ¹	tⁿ u ¹ m i ³	t o ¹⁵ m i ⁵¹	t ũ m ĩ	t õ ¹ m ĩ ³	t u m i	t n̥ ũ m ĩ	t o ʔ a	t o ³²	t ɲ ũ ũ	t o ¹ m i ³	n ũ ũ	t ũ m ĩ	tⁿ õ õ	tⁿ ũ ũ	n̥ n ũ ¹ ũ ³	t ũ m ĩ	t ũ m ĩ	tⁿ ũ m ĩ	t õ ⁵¹ m ĩ	i ð i	t u ³ m i ³		tⁿ ũ ũ	t ũ m ĩ	tⁿ ũ ũ	n̥ n ɨ̃ m ɨ̃	n ũ ũ		t ũ m ĩ	t ũ m ĩ	t o ¹⁵ m i ⁵¹	t u ¹ m i ³	t õ m ĩ	tː o ³²	t õ ¹ m ĩ	n ũ m ẽ	t n̥ ũ ũ	t ũ ¹ m ĩ ³	t ũ m ĩ	t ũ ¹ ũ ¹	n ũ m ẽ	t ũ m ĩ	t ũ m ĩ	t ũ m ĩ	t n̥ ũ m ĩ	tⁿ ũ ũ	t ũ m ĩ		tⁿ u m i	t o ¹ m i ³	t ũ m ĩ	i ð i	t ũ m ĩ	t ũ m ĩ	tⁿ ũ m ĩ	tⁿ ũ m ĩ	tⁿ ũ ũ	tⁿ ũ ũ	t ũ m ĩ	t ũ m ĩ	tⁿ ũ m ĩ	t ũ m ĩ	t ũ m ĩ		tⁿ ũ ⁵ m ĩ ¹	t n̥ ũ ũ	t ũ ¹ m ĩ ³	t ũ ¹ m ĩ ³¹	t u ³ m i ¹	t ũ m ĩ	t õ m ĩ	t ũ m ĩ	t ũ m ĩ	t ũ m ĩ	t u ³ m i ¹	t ũ m ĩ	t ũ ¹ m ĩ ³	t ũ m ĩ	t ũ ¹ m ĩ	tⁿ ũ ũ	n ũ m ĩ	n̥ n ũ ũ	tⁿ u ⁵ m i ¹	tʲ ũ ũ	t ũ m ĩ	t ũ ¹ m ĩ	t ũ m ĩ	t ũ m ĩ	t ũ m ĩ	t u ¹ m i ³	tⁿ ũ ¹ m ĩ ¹		t u ¹ m i ³²	t u ¹ m i ³	t õ ¹ m ĩ ³	t u ¹ m i ³	t õ m ĩ
165_foam			tʃ + ĩ ³ ɲ u	tʃ i + k ĩ ɲ ũ	t ɨ ³ + ʔ i ⁵ ɲ u ³	ʃ + ĩ ɲ ũ	tʃ i + ʔ ĩ ɲ ũ	tʃ i + k ĩ ɲ ũ	ĩ ɲ ũ	ɲ u ¹ ɲ u ¹	tʃ i ⁵ + ʔ ĩ ¹ ɲ ũ ¹	tʃ i + ʔ ĩ ɲ ũ	t + i ³ ɲ ũ ³	t i ¹ + i ³ ɲ u ¹	tʃ i ¹ + k i ¹ ɲ u ¹	t + ũ ɲ ũ	tʃ i + ʔ ĩ ¹ ũ ¹	t + ɨ ¹ n ɨ ¹	t i + ʔ ĩ ɲ ũ	jː a t ã	a t ã ² ʔ ã	tʃ ĩ n ã ɲ ũ	tʃ i ³ + ʔ i ¹ õ ¹	t + ĩ ɲ ũ	ĩ ɲ ũ	t i + ĩ ɲ ũ	t i + ĩ ɲ ũ	t + ĩ ɲ ũ	ĩ ɲ ũ	tʃ i k i + ʔ n ĩ ũ	tʃ i + ʔ ĩ ɲ ũ	tʃ i + ʔ ĩ ɲ ũ	t + ĩ ɲ ũ	t i ³ + ɲ u ¹ u ¹		ĩ j̃ ũ	t + ĩ ɲ ũ	t i + ĩ ɲ ũ	t + ĩ j̃ ũ	t i + ĩ ɲ ũ		t + ɨ̃ ɲ ɨ̃	tʃ i + ʔ ĩ ɲ ũ	tʃ i ¹ + k i ¹ ɲ u ¹	tʃ + i ¹ ɲ u ¹	tʃ i + ʔ ĩ ɲ ũ	j a ³ t ə̃ˀ ³	tʃ i + k ĩ ɲ ũ	t + ĩ ɲ ũ	t i + ʔ ĩ ɲ ũ	tʃ i + ʔ ĩ ɲ ũ	t i + ĩ j̃ ũ	t i ³ + ʔ ɨ̃ ³ ɲ ũ ³	t + ĩ ɲ ũ	ĩ ɲ ũ	ĩ ɲ ũ	ĩ j̃ ũ	t i + ʔ ĩ ɲ ũ	t i + ĩ j̃ ũ	t + ɨ̃ ɲ ɨ̃		t e + i ɲ o	tʃ i ³ + ʔ i ¹ ɲ o ¹	tʃ + ĩ ³ ɲ ũ ¹	ts + ĩ ɲ ũ	tⁿ + ĩ ũ	t + ɨ̃ ɲ ɨ̃	iː ɲ ũ	tʃ i + k ĩ ɲ ũ	t + ĩ ɲ ũ	t + ĩ ɲ ũ	t + ɨ̃ ɲ ɨ̃	t i + ĩ ɲ ũ	ĩ ɲ ũ	t + ɨ̃ ɲ ɨ̃	ĩ ɲ ũ	j u ¹ k i ẽ ⁴¹	tⁿ + ɨ̃ ɲ ũ ⁵	tʃ + ĩ ɲ ũ	t + ĩ ¹ ɲ ũ ¹	tʃ + ĩ ¹ ɲ ũ ¹	ʃ i k i + ɲ ũ ũ	t i + ĩ ɲ ũ	tʃ i + ĩ j̃ õ	tʃ i + ĩ ɲ ũ	t i + ĩ j̃ ũ	t + ɨ̃ ɲ ɨ̃	t + ɨ̃ ɲ ɨ̃	tʃ i + k ĩ ɲ ũ	tʲ + ũ ¹ ũ ¹	ĩ ɲ ũ	ʃ i + ʔ ĩ ɲ ũ	ĩ ɲ ũ	t + ɨ̃ ɲ ɨ̃	t i + ĩ ɲ ũ	t i ¹ + i ⁵ ɲ u ¹	tʃ ĩ n ã ɲ ũ	tʃ i + ʔ ĩ ũ	t + ĩ ɲ ũ	tʃ i + ʔ ĩ ɲ ũ	p e l e	tʃ i + ʔ ĩ ɲ ũ	tʃ + i ³ ɲ ũ ¹	tʃ i ¹ + ʔ ĩ ⁵ ũ ¹		ɲ u ¹ ɲ u ¹	t + i ¹ ɲ u ¹	tʃ i + ʔ ĩ ũ	tʃ + i ʔ ɲ ũ	tʃ i + ʔ ĩ ɲ ũ
166_frog	s a ³ ʔ β a ³	s a ³ ʔ β a ¹	s a ʔ β a	s a ʔ w a	s a ⁵ ʔ β a ³	k õ ⁿd o	l a ʔ w a	s a ʔ w a	s a ʔ w a	k o ⁵ ⁿd o ⁵	l a ʔ w a	h a ʔ β a	s a ³ ʔ β a ¹	s a ³ ʔ β a ¹	s a ⁵ ʔ β a ¹	s a ʔ β a	l a ʔ o	s a ʔ β a	l a + ʃ i kʷ i	ʃ i + r e k i	ʃ i ² + r i ³ k ɨ h ³	l a ʔ β a	l a ⁵ ʔ o ¹	l a ʔ w a	s a ʔ w a	ⁿd i + ð e kʷ e	s a ʔ β a	s a ʔ β a	l e kʷ e	l a ⁵ ʔ β a ¹	s i + ð i kʷ i		ts + a ¹ ʔ β a ⁵	s a ⁵ ʔ β a ³	ʂ i ³ k i h ¹³	ⁿr a k a	s a ¹ ʔ β a ¹	s a ʔ β a	l a ʔ ⁿd u	ð a ʔ w a		s a ʔ w a	ⁿd i + l a β a	s a ⁵ ʔ β a ¹	l a ⁵ ʔ β a ¹	l a ʔ β a	tʃ i ² + r i ³ k i h ³	s a ʔ β a	l a ʔ w a		l a + k õ ⁿd o	ⁿd i + l a ʔ w a	s a ³ ʔ β a ¹	l a ʔ ⁿd u	s a ʔ w a	s a ʔ β a	k a + ð a ʔ w a			s a ʔ w a		t i + j a ʔ w a	ⁿd i + l a ʔ β a	k õ ⁿd o	l u u + ts a ʔ w a	l a ʔ w a	s a ʔ w a		s a ʔ w a	s a ʔ β a	r e kʷ e	s a ʔ w a	ⁿd i + l a ʔ w a	ts i + ð a ʔ w a	l e kʷ e	s a ³ ʔ β a ³		l a ¹ ʔ β a ⁵	s a ʔ β a	k u ⁵ ʔ l e ⁵	l i ³ + k o ⁵ ʔ ⁿd o ⁵	l e kʷ e	l i k a + l a ʔ w a	l o + k o ⁿd e		ⁿd i + ð e kʷ e	s a ʔ β a	s a ʔ β a	l a ʔ β a	k u ʔ l e	s a ʔ β a		ð a ʔ w a	tʃ + a ʔ w a	s a ʔ β a	s a ³ ʔ β a ³	l a ʔ w a	l i kʷ i	ⁿt i ³ + ʃ i kʷ i	i s u + k ĩ n ĩ	s a ʔ w a	l a ʔ w a	l a ⁵ ʔ β a ¹	s i ¹ + ð i ³ kʷ i ³	s a ¹ ʔ β a ¹	s a ³ ʔ β a ²	s a ³ ʔ β a ¹		l a ʔ β a	ts i + l a ʔ w a
167_furrow	ʒ u ³ k u ³	tʃ i ¹ tʃ i ³	tʃ i tʃ i	tʃ i tʃ i	ʒ u k u	tʃ i tʃ i	j u k ũ	tʃ i tʃ i		tʃ i ¹ tʃ i ³	tʃ i tʃ i	ʒ i k o	tʃ i ¹ tʃ i ³	ʒ u ³ k ũ ¹	i ⁵ ʔ ts ĩ ³	j u k ũ	ⁿtʃ i k o	j u ³ k u ¹	x i k o		d u ³ kʷ ã ³⁵	ʃ i tʃ i	j i ⁵ k o ¹	i tʃ i + k a a	j u k ũ		ʒ u k ũ	ʒ u ³ k ũ ¹	j u k ũ			tʃ i tʃ i	ʃ u kʷ ĩ	j u ⁵ k ũ ³			tʲ i k i	ʒ u k ũ	i tʃ i + k a a	ʃ u k ũ		j u k ũ	tʃ i tʃ i	tʃ i ¹ tʃ i ³	ʒ i ³ k ũ ¹	tʃ i tʃ i	t u ³ kʷ ə̃ h ⁵	tʃ i h tʃ i	ʒ u u		tʃ i tʃ i	ʃ i tʃ i	j u k ũ	ʒ u x ũ	j u k ũ	j u k ũ			ʒ u k ũ	j u k ũ		s i tʃ i	tʃ i ¹ tʃ i ³	j i ³ k ũ ¹		ʒ u k ũ	j u k ũ	k o o	tʃ i tʃ i	j u k ũ	j u k ũ	j u k ũ	ʃ i tʃ i	k o o	j u k ũ	j u k u		ʃ i tʃ i		j u ³ k ũ ³	ʒ u ³ ʒ ũ ¹		ʃ i tʃ i	ʒ i k ũ	j u k u	ʃ i tʃ i	j u k ũ	j u ¹ k ũ ¹	ʒ u k u	tʃ u ³ k ũ ³	j u k u		ʃ i tʃ i	ʒ u k ũ	ʒ u k ũ	x u ³ k ũ ⁵	s i tʃ i	j u k ũ	n ũ ³ k ũ ¹	ʒ i k ũ	j u ³ k ũ ¹	j u k u	tʃ i ¹ tʃ i ³	j u k ũ		j u ³ k ũ ²	j u ³ k u ¹	ʒ i k o		j u k ũ
168_garbage	m i ³ ʔ i ⁵	m i ¹ ʔ ĩ ⁵	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ɨ ³ ʔ i ⁵	kʷ a j u a	m ĩ ʔ ĩ	m ĩ ʔ ĩ	ʒ a k a	kʷ a ³ j u ³	ʃ e ʔ e	s e ʔ e	m i ¹⁵ ʔ ĩ ³	m i ¹ ʔ i ³	ʃ e ¹ ʔ e ¹	tʃ ã ʔ ã	s e ʔ e	m ĩ ʔ ĩ	m ĩ ʔ ĩ		a ³ k o ¹	ʒ a k a + β i ʔ i	ʃ e ³ ʔ e ¹	m ĩ ʔ ĩ	tʃ ã ʔ ã	m ĩ ʔ ĩ	m ĩ ʔ ĩ	ʒ a ¹ k a ³	m ĩ ʔ ĩ	ʃ e ¹ ʔ e ¹		ʃ e ʔ e	ʃ a k a	ts a ⁵ ʔ ã ³		m i ⁵ ʔ i ⁵	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ		m ĩ ʔ ĩ	ʃ e ʔ e	ʃ e ¹ ʔ e ¹	tʃ e ¹ ʔ e ¹	ʃ e ʔ e	j a ³ k o ¹	ʃ e ʔ e	m ĩ ʔ ĩ	m ĩ ʔ ĩ	ʃ e ʔ e	m ĩ ʔ ĩ	kʷ a ³ ʒ o ³	m ĩ ʔ ĩ	m ĩ ʔ ĩ	tʃ ã ʔ ã	m ĩ ʔ ĩ		w ĩ ʔ ĩ	m ĩ ʔ ĩ	m i ʔ i		s e ¹ ʔ e ¹	m ĩ ʔ ĩ	ʒ a k a	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	s a ʔ w ɨ	kʷ e j o	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	ð a ⁴ k u ⁵¹	m ĩ ¹ ʔ ĩ ¹	m ĩ ʔ ĩ	j a ¹ k a ³	ʒ a ¹ k a ³	tʃ a ʔ a	m ĩ ʔ ĩ	ʃ e e	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	m ĩ ʔ ĩ	j a ¹ k a ³	m ĩ ʔ ĩ	ʃ e ʔ e	m ĩ ʔ ĩ	m ĩ ʔ ĩ	x a + k a j a	m i ⁵ ʔ i ⁵	ʒ a k a	m ĩ ʔ ĩ	ʒ a ¹ k a ³	ʃ i ʔ e	m i ¹ ʔ i ³ ʔ	m ĩ ʔ ĩ	ʃ e ³ ʔ e ¹	m ĩ ³ ʔ ĩ ¹	m i ² ʔ i ⁵	m i ¹⁵ ʔ i ⁵	m i ¹⁵ ʔ ĩ ³	ʃ e ʔ e		m ĩ ʔ ĩ
169_green	kʷ i ³	kʷ i ³ i ¹	kʷ i ⁵¹ i ⁵	kʷ i ⁵ i ⁵	kʷ i ⁵ i ³					kʷ i ⁵¹ i ⁵			kʷ i ⁵ i ¹⁵	kʷ i ⁵ a ⁵	kʷ i ³ h i ¹⁵			kʷ i i		m e + r e ʔ a	m ã ² + r e ³¹		kʷ i ⁵ i ¹							kʷ i ⁵ i ¹			kʷ i ¹ i ¹	kʷ i ⁵ i ⁵	m a + ʂ e ³¹	kʷ i ⁵ i ³	kʷ i ⁵¹ i ⁵				kʷ e e			kʷ i ³ h i ¹⁵	kʷ i ⁵ i ¹		m a ² + ɾ e ³¹						kʷ i ⁵ i ¹								kʷ i i	kʷ i i	kʷ i ⁵ i ¹													kʷ i ¹ i ¹	kʷ e ³	kʷ i ⁵¹ i ¹				kʷ i ¹ i ¹ ʔ		kʷ i ⁵ i ¹												kʷ i ³ i ³					kʷ i ³ i ¹ ʔ		kʷ i ⁵ ʔ i ¹⁵			kʷ i ⁵ i ²⁵	kʷ i ³ i ¹⁵		kʷ i ⁵ i ¹	
16_clothorclothes	s a ³ ʔ m a ³				s a ³ ʔ m a ³					s a ³ ʔ m a ⁵				s a ³ ʔ m a ³				s a ʔ m a			a ³ ts i h ⁴		ð a ⁵ ʔ õ ¹					s a ³ ʔ m a ³					ð o o	h a ³ ʔ m a ³		ð ã ⁵ ʔ m a ⁵											a ⁴ s i h ³																																																															
