Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
19012_312_hill,,,,,,,,,,,,,,,,,k ə r i,,,,b ɨ d i,,,,j ɨ k l a,,,,,,,,b ɨ d i,p u n g u l i,,,,,,,,,,
19015_52_behind,,,,d ə w z e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19015_6_after,,,,d ə w z e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020_682_weave,,,,,,,,,,,,,,,,,s ɑ g a ŋ i n,,h i w u n,,h ɨ n d ɨ + s a g a,,,,,,,,,,,,ʃ e,gʱ ɨ n + s a k a,,,,,,,,,,
19042_36_basket,k a l a m,,,,,,,,,,,,,,,,g a r a n g,,k ɨ s k ɨ r,,k ɨ n d a i,,,,,,,,,,,,k a l a m,k ɨ s k ɨ r,,,,,,,,,,
19090_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j ɑ r ɑ j,,,,,,,,
19127_633_thunder,m d ɨ l g o,,d ə l a g ə,,,,,,,,,,,,,,d ə l a g ə,,,,d a l a g ɨ,,,,,,,,,,,,d ɨ l a k ɨ,a r a d ɨ,,,,,,,,,,
19128_440_now,,,k ə n e,,,,,,,,,,,,,,,,m a ɗ e n,,f a d a n,,,,,,,,,,,,n a + d o,k ɨ r g e,,,,,,,,,,
19132_374_liver,ɬ ɨ m b o,,,,,,,,,,,,,,,,k ə m a tː ə n,,n s l ɨ x t ɨ n,,n g o f o,,,,s a n t a,,,,,,,,ʃ u m b u,s ʔ ɨ g a n t ɨ,,,,,,,k i b d e,,,h ə n t a
19137_212_family,,,,,,,,,,,,,,,,,,,m i j a + m a t a ɗ e,,g e f ɨ n,,,,,,,,,,,,g e j f ɨ n,j i l,,,,,,,a h a l,,,
19207_11_bealone,s ʔ a,,k ə t e,,,,,,,,,,,,,,,,s a,,,,,,,,,,,,,,s ʔ a,k ɨ + j a,,,,,,,,,,c a l a l a
19212_251_food,,,,,,,,,,,,,,,,,,,z ɨ m i,,,,,,,,,,,,,,,j i m i,,,,,,,,,,
19299_71_body,ɬ u,,x u,,,,,,,,,,,,,,,,,,ɬ u,,,,,,,,,,,,s i,,,,,,,,,,,
19305_533_medicinemantraditionalhealer,m e + s ɨ + p ɨ r p ɨ n,,,,,,,,,,,,,,,,g a u,,b ɨ l a + e + m u gʱ u n,,g a w,,,,g a w,,,,,,,,g a w,b ɨ r + k u r g u n,,,,,,,g a wː,,,
19313_630_throat,n k ʔ o l i o,,b ə a g ə r,,,,,,,,,,,,,,n g o w o l t o,,n k u l i,,m g ɓ a n j e,,,,k u r gʱ a,,,,,,,,n k o l i o,k o l i,,,,,,,,,,k u r gʱ a
19322_73_bottle,,,,,,,,,,,,,,,,,g a s a s a,,g a z a z a,,m u t ɨ g a l,,,,g a z a z a,,,,,,,,n g a z a,g a z a z a,,,,,,,g a z a z,,,
19337_466_place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬ a m,,,,,,,,,,,,
19337_634_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬ a m,,,,,,,,,,,,
19347_480_pull,,,,d ɑ ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19347_591_stretch,,,,d ɑ ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19348_337_intestines,,,,,,,t a n d a j,,,,t a n d a j,,,,,,,,,,,,,,,,,,,,,t a n d a j,,,,,,t a n d a j,,,,,,
19348_381_lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t a n d a j,,,,,,,,,,,,,,
19353_708_yawn,l a + h a m,,,,,,,,,,,,,,,,w a s a m,,u s a mʷ u n,,l e d ɨ + h a m,,,,,,,,,,,,l a + h a m,l a + h a m,,,,,,,t a w a b,,,h a m a
19358_372_lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a ɮ o k o,,,,m ɑ ɮ ɑ h k u,,m a ɮ o h p o,,,,,,
1935_294_half,,,r e d a,,,,,,,,,,,,,,,,z a l a n,,h e l,,,,,,,,,,,,b a l a,z a l a n,,,,,,,,,,
19370_274_begood,,,,,,,,,,t ə w ɑ h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19370_42_bebeautiful,,,,,,,,,,t ə w ɑ h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19408_144_squat,d o + g o + f t ɨ n,,,,,,,,,,,,,,,,,,s ʔ u w u r u n + h e,,d e d ɨ + h i + t ɨ n,,,,,,,,,,,,s a + g o l + e n s e,z o gʱ o r + e,,,,,,,,,,
19410_682_weave,,,,,,,,,,,,,,,,,s ɑ g a ŋ i n,,,,,,,,,,,,,,,,h ɨ n + s a g a,,,,,,,,,,,
19417_362_leopard,,,,,,,d ə v a r + j + p e ɬ,,,,,,,,,d ə gʷʱ a v a,,,,,,,,,,,,,,d ə v a r + d z i d z e g e,,,,,,,,,,,,d ə gʷ a v a k,,
19422_153_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p a ts,,,,,,,,,,,,
19422_596_sun,,,,,,,p a ts,,,,p a ts,,,,,,,,,,,,,,,,,,,,,p a ts,,,,,,p a ts,,,,,,
19443_279_grass,ɬ ɨ f u,,,,,,,,,,,,,,,,,,ɬ i v i,,ɬ a f ɨ,,,,,,,,,,,,ʃ a f u,s a v i,,,,,,,,,,
1944_66_blindperson,,,,,,,,,,,,,,,,,,,n x u f i,,,,,,,,,,,,,,,n gʷ a f ɨ,,,,,,,,,,gʷʱ a j r a
19469_469_porcupine,,,,,,,n j e h e ɗ,,,,n d z ə h e ɗ,,,,,,,,,,,,,m ə ts a,,,,,m ə c a h,n d z ə h e ɗ,,e n j e h e ɗ,,,,e c i h i,,,,,,,a n z a h,
19486_43_because,,,l ə m a r i,,,,,,,,,,,,,,,,a + g e,,a + g e,,,,,,,,,,,,g e j,a + g i,,,,,,,a c a n,,,a l a + c e
19487_148_curse,,,,g ɑ j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19487_546_sin,,,,g ɑ j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19490_45_bedroom,g a r u,,,,,,,,,,,,,g a a r u u,,,g a r u,,v ɨ n i + e + m ɨ s a n e,,g a r u,,,,gʱ i a + a s ɨ ŋ,,,,,,,,k a r u,v ɨ r + a + h a v ɨ n,,,,,,,,,,
19494_418_mud,m d ɨ r b i,,b o b i,,,,,,,,,,,,,,t o l o,,n d ɨ r b i,,l u ɗ ɨ,,,,a r a ɓ e,,,,,,,,m d a ɓ e,n d ɨ r ɓ e,,,,,,,,,,a n a gʷʱ i
19497_23_arrange,,,,,,,,,,,,,,,,,a l a m a,,ɬ ɨ l u n + h e,,d e d ɨ + f r e,,,,,,,,,,,,h ɨ n + a l a m a,s r a + h e,,,,,,,a l a m a,,,
19515_81_breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɗ ə w a h,,ɗ ə w a h,,,,,,ɗ ə w a h,,,,,,
19519_297_behard,,,,,,,,,,ɓ ə r ɓ ə r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19519_590_strength,,,,,,,,,,ɓ ə r ɓ ə r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19521_44_bed,s k a g ɨ,,,,,,,,,,,,,,,,d ə g a l,,k a r k a r,,a n g r i b ɨ,,,,,,,,,,,,a n g r e b u,a n g r i,,,,,,,a n g a r e b,,,
19538_292_hair,,,,,,,,,,,,,,,,,k u n d u l i,,m s ʔ a l,,m s ɨ g ɨ,,,,s u m i a,,,,,,,,m s ɨ g ɨ,m s ʔ a l,,,,,,,,,,a m o d i
19540_582_star,s ɨ l g o,,,,,,,,,,,,,,,,ʃ i lː e w u,,s ɨ l k ɨ n,,j ɨ l g ɨ,,,,c ɨ r k ɗ e,,,,,,,,s ɨ l g ɨ,s ɨ l k ɨ,,,,,,,n a j m a,,,c a r a kʷ i
19547_647_towards,,,,,,,,,,,,,,,,,,,,,l e + g o,,,,,,,,,,,,l e j,d a,,,,,,,l e,,,
19548_15_animal,,,,s ə k ɑ n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19548_623_thing,,,,s ə k ɑ n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19560_47_beer,,vʷ e,,,,,,,,,,,,,,,,,,,,,,,,,,m a v u,,,,,,,,,,,,,,,,
19580_130_come,,,,,,,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19580_272_go,,,,,,,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19580_674_walk,,,,,,,,,,n d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19584_84_bride,,,,,,,,,,,,,,,,,l o r u s a,,m a + l + l a r u s a,,m a + d ɨ + b l e w e,,,,,,,,,,,,m s ʔ a b a n,l a r u s a,,,,,,,a r i s,,,
1961_569_soulspiritoflivingperson,n a s k u,,,,,,,,,,,,,,,,a n o s k u,,n ɨ f u,,n a w s ɨ,,,,n a f s e,,,,,,,,n a s k u,v a s,,,,,,,n a f i s,,,
19632_715_youngwoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d a h ə l a j,,,,,,,,,,,,,,
19632_84_bride,,,,,,,d a h ə l a j,,,,d a h ə l a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19638_68_blood,,,,,,,,,,,,,,,,,,,x s i,,s k i,,,,,,,,,,,,s k i,s k i,,,,,,,,,,
19685_611_ten,,,,,,,,,,,,,,,,,,,,,,,,,,,k u r u ʔ,,k u r o,,,k ə r o,,,,k r u,,k u l u,,,,,,
19686_166_dig,ɬ e,,,,,,,,,,,,,,,,,,p ɨ lʷ u n,,ɬ a u d ɨ,,,,,,,,,,,,ʃ e w,z o w,,,,,,,,,,j a gʱ a
196_431_news,,,h a b a r,,,,,,,,,,,,,,h a w a r,,l a b a r,,l a b a r + j a n + b l i n,,,,,,,,,,,,l a b a r,l a b a r,,,,,,,x a b a r,,,
19706_470_belongings,,,,,,,,,,,,,,k a d a r i,,,,,m b i,,l ɨ m a n,,,,,,,,,,,,w e + i + k a d a r i,l ɨ m a n,,,,,,,,,,m b i
19709_6_after,,,,,,,,,,,a z ə k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19723_460_person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m i s,,,,m i s,,,,,,,,
19735_553_hideofanimal,k a r a b i,,,,,,,,,,,,,,,,k a r a w i,,,,k a r a b i,,,,,,,,,,,,k a r a b i,,,,,,,,,,,k a r a
1973_248_foam,,,,,,,,,,,,,,,,,b i lʷ u,,m a k a p u,,,,,,,,,,,,,,c i p u,g i + t ɨ s ʔ e,,,,,,,,,,
19742_503_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t a r b o,,,,,,,,d e r i b,,,
19748_522_seed,,,,,,,,,,,,,,,,,,,,,w u ɗ i,,,,,,,,,,,,,w u ɗ i,,,,,,,,,,
19774_315_hoen,d a m o,,,,,,,,,,,,,,,,b a n o,,g a m,,d ɨ g ɨ l a,,,,,,,,,,,,d o m o,g a m,,,,,,,k a d a n g a,,,
1978_243_flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h u m b u,,,,,,,,
19792_401_middle,,,,t ɑ b ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19792_57_between,,,,t ɑ b ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979_365_lie,,,,,,,,,,,,,,,,,l a i l a i,,,,,,,,,,,,,,,,l a w l a w,,,,,,,,l a w l a w,,,
19826_537_shirt,,,,,,,,,,,,,,,,,j a m f a,,n g u m a z i,,t u m a r,,,,,,,,,,,,j e m b a,n g u m a j i,,,,,,,c a m i s,,,
19836_119_clan,g a b ɨ n,,,,,,,,,,,,,,,,j i l i,,j ɨ l i,,j ɨ l,g a l f ɨ n,,,j i b a,,,,,,,,j i l,j i l,,,,,,,a s i l,,,
19838_195_elephant,,,,,,,,,,,,,,,,,,,,,,,,,gʷ a gʷ e,,,,,,,,,,,,,,,,,,,gʷ a gʷ i
19839_710_beyellow,g u r g u m,,a ə s u ə b ə r,,,,,,,,,,,,,,k u r w u m,,h u r g u m,,j a + g u r g u m,,,,,,,,,,,,k u r g u m,k u r g u m,,,,,,,,,,h u r u g u m
19873_465_urinate,g a + ɓ ɨ r e,,,,,,,,,,,,,,,,,,h e s e l + n k u n e,,g e d ɨ + g b r e,,,,,,,,,,,,g a + k u r e,j i + k u r e,,,,,,,,,,
19877_134_corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ ə s i m,,,,,,
19877_156_death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ ə s i m,,,,,,
19880_318_honey,,,,,,,,,,,,,,,,,,,i m a n,,m a m,,,,,,,,,,,,m a m,m a m,,,,,,,,,,a m a m a
1988_7_afternoon,a d u a r,,a dː u r,,,,,,,,,,,,,,d u w a r,,m e s ɨ,,a ʃ r a,,,,,,,,,,,,a dʷ a r,z a w a l,,,,,,,d u ʔ a,,,
19893_351_lake,,,,,,,,,,,,b u l a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19893_520_oceansea,,,,,,,b ə l a j,,,,,,,,,,,,,,,,,,,,,,b ə l a j,,,,,,,,,,,,,,,
198_198_enemy,,,k ə l a d u,,,,,,,,,,,,,,a i w u,,a d u,,a d u,,,,a d u,,,,,,,,a d u,a d u,,,,,,,a d u,,,g a b i l
19905_274_begood,,,a lː i,,,,,,,,,,,,,,l e l e,,,,,,,,,,,,,,,,l e,l e,,,,,,,,,,
19938_469_porcupine,,,,,,,,,,,,,,,,,,,m ɨ z i z i,,,,,,,,,,,,,,,m e z i z i,,,,,,,,,,
19939_457_pathroad,,,,,,,v o t o,,,,,,,,,,,,,,,,,,,,,,,v o t o,,,,,,,,,,,,,,
1993_79_brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e n d i ɬ,,,,,,,,
19940_435_no,,,a,,,,,,,,,,,,,,a ʔ a,,a + a,,a + a,,,,,,,,,,,,a + a,a + a,,,,,,,,,,
19968_83_breathe,ɬ e + f t i,,,,,,,,,,,,,,,,,,x s l e l + v i ʃ i,,l e d ɨ + f a s ɨ,,,,,,,,,,,,l a + f a s ɨ,s e + v a s,,,,,,,f a s a,,,
19980_576_spinebackbone,ɓ ɨ l m a n,,,,,,,,,,,,,,,,k a r e r e,,i ɬ ɨ + e + n g u n,,m a s + e + ɓ ɨ l ɨ m,,,,a s i s ʔ a j a l a gʱ a,,,,,,,,e n ʃ i + s ɨ + ɓ ɨ l ɨ m,e n s + a + m ɓ ɨ l ɨ m,,,,,,,,,,
19996_444_okra,g ɨ l a w o,,,,,,,,,,,,,,,,g u w a l t o,,b ɨ l i,,g a l a w a,,,,,,,,,,,,k a l u o,g a l a w,,,,,,,d a rː a b a,,,
1999_521_see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n a,,,,,,,
1999_618_there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n a,,,,,,,
20002_410_mortar,,,a e j i n,,,,,,,,,,,,,,,,z ɨ n h a,,,,,,,,,,,,,,,a z ɨ n,,,,,,,,,,
20004_117_redpepperhotpepper,c i t a,,,,,,,c i tː a,,,,,,,,,n j i tː a,,w a s e n a,,ʃ i t a,,,,,,,,,,,,s i t a,ʃ i t a,,,,,,,c a tː e,,,
20034_375_lizard,,,,,,,,,,,,,,,,,,,m a gʱ r a n,,m a b ɨ r a,,,,m a tʃ e r a,,,,,,,,m a l e,m a gʱ ɨ r a m,,,,,,,,,,
20037_331_i,,,,,,,,,,,,,,,,,,,u,,w u,,,,,,,,,,,,u,u,,,,,,,,,,
20058_521_see,,,,,,,,,,,,,,,,,,,n g u n + a l e,,n g ɨ n + j e,,,,,,,,,,,,,n g ɨ,,,,,,,,,,
20109_185_earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w e + i + ʃ i m e,,,,,,,,x u r u s,,,
20119_126_fellowwife,k e j m i,,,,,,,,,,,,,,,,c e m i,,g ɨ n + w i j e,,g r ɨ m + d ɨ + j uː,k e i m i,,,v ɨ l ɗ a + gʱ a z e,,,,,,,,k e m i,g ɨ r ɨ m + t ɨ + s u,,,,,,,,,,
2011_47_beer,,,,,w u z a m,,ɢ u z o m,,,,g o z o m,m u z o m,,,,,,,,,,,,,,,,,,,,,,,,,,w u z a m,,,,,,
20120_303_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ə r a j,d ə r a j,,,,,,,,,,,,
20148_469_porcupine,,,,z ə m e ŋ,d ə m b e kʷ,,,,,ʒ i m ɑ m,,,,,,,,,,,,,,,,,,z e m b ə ŋ,,,,,,,,,,,,,,j i m ə k,,
20165_693_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g i r p e l i m,,,,,,,,
20171_485_quickly,,,a j ə l a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a j a l a,,,,,,,,a j a l a,,,
20175_711_yes,,,,,,,a j a w,,,,,,,,,,,,,,,,,,,,,,,a j a w,,,,,,,,,,,,,,
20183_141_crawl,d ɨ l ɗ o,,,,,,,,,,,,,,,,,,m ɓ i w u n,,d ɨ l ɗ ɨ w u n,,,,,,,,,,,,s a r a,m t ɨ,,,,,,,s a r a h,,,
20208_435_no,,,,,,,a ʔ a j,,,,a ʔ a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20222_148_curse,,,s ə b a n a,,,,,,,,,,,,,,s u w a n a,,,,,,,,,,,,,,,,s u b a n a,,,,,,,,n a i l e,,,
20235_428_needle,l i b ɨ r a,,,,,,,,,,,,,,,,l i w u l a,,l i b r a,,l i b r a,,,,,,,,,,,,l i b r a,l i b r a,,,,,,,i b r e,,,
20256_417_move,,,,h ə ɓ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20256_584_stir,,,,h ə ɓ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20257_556_sky,s a m e,,,,,,,a s a m a,,,,,,,,,s a m i,,m ɨ d ɨ l g a,,s a m e,,,,a s a m a,,,,,,,,s a m e,n t ɨ l g o,,,,,,,s a m a,,,
20296_147_cup,,,a m a j r a m,,,,,,,,,,,,,,,,m p l i + l + a m,,k o s ɨ,,,,,,,,,,,,m b l i a m e,p l e + t o + a m,,,,,,,,,,
20305_238_fishingnet,,,,,,,,,,,,,,,,,z a r i,,,,,,,,,,,,,,,,z a r i,,,,,,,,,,,
20308_689_whiteman,,,,,,,,n a s aː r aː j o,,,,,,,,,n a s a r a,,b ɨ l a + p a w,,n a s a r a,,,,ɗ ɨ v i ŋ + p s a k ɨ,,,,,,,,n a s a r a,b ɨ l m a + p o w,,,,,,,n a s r a n i,,,
20328_327_hunter,m e + s ɨ + s a m,,,,,,,,,,,,,,,,,,b ɨ l a + e + g a l a,,m e + j a m,m e + s ɨ + n g a r e,,,,,,,,,,,m s i + s a m,b ɨ r + s kʷ a l,,,,,,,,,,
20336_130_come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ a,,,,,,,
20336_438_not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ a,,,,,,,
20353_300_hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j ɑ k u,,,,,,,,
20378_269_give,f i,,,,,,,,,,,,,,,,,,v a w u n,,f i d ɨ,,,,,,,,,,,,f i,v o,,,,,,,,,,
20394_574_lancespearn,l a h e,,a lʱ a,,,,,,,,,,,,,,k a z a a,,l i gʱ e,,l e,,,,,,,,,,,,l e j,l a gʱ a j,,,,,,,s e f,,,
20429_292_hair,,,,,,,,,,,a n gʷ e c + i + g a r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20429_293_hairofhead,,,,,,,a n gʷ e c + i + g a r,,,,,,,,,,,,,,,,,,,,,,,a n gʷ e c + i + g a r,,,,,,,,,,,,,,
20495_197_surround,,,,,,,,,,,,,,,,,,,h u l u n + a,,h i d ɨ + g a,,,,,,,,,,,,,h ɨ + m a t e,,,,,,,,,,
20499_274_begood,,,n g ə l a,,,,,,,,,,,,,,,,b i,,m b u s ɨ n,,,,,,,,,,,,m b i n,b u,,,,,,,,,,d a a v ə n
20511_317_hole,b o l o,,,,,,,,,,,,,,,,b ə l a a,,b u l u,,w u l i m,,,,b i n e,,,,,,,,b o l o,u l u m,,,,,,,,,,
2054_63_beblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z ə ŋ z i ŋ + s ə r u s ə r u k,,,,,,,,,,,,,,
20553_250_follow,g ɨ d ɨ,,,,,,,,,,,,,,,,k a d u n g i n,,z ɨ b e,,g a d ɨ w u n,,,,,,,,,,,,k a d ɨ,t o + k a,,,,,,,,,,z ə b j a
2065_463_pierce,,,,,,,,,,,,,,,,,,,b a w u n,,b a w u n,,,,,,,,,,,,b o,b o + h o,,,,,,,,,,
209_450_open,,,b a l,,,,,,,,,,,,,,b o n g,,,,,,,,,,,,,,,,b a n,w a n,,,,,,,,,,
2128_717_zebra,,,,,,,,,,,,,,,,,k o r o + k a r a a b e,,,,g r o + a + l a,,,,,,,,,,,,k o r o + ɨ l + b a d r a,k o r o + b a d r a,,,,,,,h u m a r + k a d a d e,,,
2137_617_then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a d ə ɓ a,
2137_8_again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a d ə ɓ a,
213_89_build,,,g u ə n,,,,,,,,,,,,,,,,v ɨ ɗ ɨ w u n,,g e + e,,,,,,,,,,,,g a + h e,z g o,,,,,,,b a n a,,,g a n a
2140_504_roast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f ə k a + w a j,,,,,,,,,,,,,,
2156_481_pus,,r eː t o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r j ə ɓʷ ə k,,,,
2161_185_earring,,,,,,,,,,,,,,,,,,,gʷʱ e + i + ɬ ɨ m a j e,,m a d r u ʃ ɨ,,,,,,,,,,,,m a d r u ʃ i,w e + s ɨ m e,,,,,,,x u r u s,,,
2164_417_move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ a l,,,,,,,,,,,,,,,
2164_584_stir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ a l,,,,,,,,,,,,,,,
2176_183_ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬ u m,,,,,,,
2176_422_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬ u m,,,,,,,
2181_466_place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e n e,
2181_634_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e n e,
2185_203_ewe,d ɨ m o,,,,,,,,,,,,,,,,d i m i,,t ɨ m e,,d ɨ m o,,,,k a t m o,,,,,,,,d ɨ m o,t ɨ m o,,,,,,,,,,
2188_567_son,,,w u ə l i,,,,,,,,,,,,,,t a d a,,gʱ u l i,,w u l i a,,,,gʱ u j a,,,,,,,,l o,u l o,,,,,,,w a l a d,,,a r v ə
2216_180_duck,m a ts i,,,,,,,,,,,,,,,,j a r a w a,,k a n a r,,k a n a r,,,,,,,,,,,,b a j a r a,m a s,,,,,,,,,,
2219_518_scar,b a l u,,b a l o,,,,,,,,,,,,,,b a l o,,m ɓ ɨ l k a m,,a l a m a,,,,,,,,,,,,b a l o,m b ɨ l ɗ i,,,,,,,,,,
222_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j a r a j,,,,,,,j ɑ r ɑ j,,,,,,,d z u r a j,
222_376_locust,,,,j e r e,,,,,,j e r i,,,,,,d z a l a,,,,,,,,,,,,dʒ e r e,,d z a r a j,,j a r a j,,,,,ʒ oː l a,d z a r a j,,,,,,
2249_531_sew,,,,ŋ t ɑ v,,,,,,ŋ t ə v,,,,,,,,,,,,,,,,,,t i f,,,,,,,,,,,,,,,,
2277_401_middle,d a b u,,,,,,,,,,,,,,,,d a w u,,m a z e s ɨ n,,m g b ɨ r + e + d a g a,,,,,,,,,,,,d a b u,n g u n + d a g e,,,,,,,,,,
2303_254_forehead,,,,,,,,,,,,,,,,,n g u m,,,,,,,,,,,,,,,,k u,,,,,,,,,,,
2306_38_beangry,b o + w a g ɨ,,,,,,,,,,,,,,,,,,m s ʔ a kʷ a + j a,,l e d ɨ + ɨ r f ɨ + a,,,,,,,,,,,,ɗ ɨ + w o g ɨ,m s ʔ a k o,,,,,,,,,,
2316_653_try,,,,,,,,,,,,,,,,,j a r a m n g i n,,d ɨ g u j u n + h e,,,,,,,,,,,,,,j a r a b u,n j a r a ɓ ɨ,,,,,,,j a rː a b,,,
2342_665_vagina,t a m b u,,,,,,,,,,,,,,,,f a r g i,,t ɨ m b u,,t a m b u,,,,j ɨ m ɗ e,,,,,,,,t a m b u,t a m b u,,,,,,,f a r a j,,,
2389_472_pour,k a + l i,,k a h a,,,,,,,,,,,,,,,,x s l ɨ w u n,,ɬ e + l ɨ,,,,,,,,,,,,ʃ i + j o,ʃ i + o,,,,,,,,,,g a h a
2425_70_blownose,,,,,,,,,,,,,,,,,,,f e l + m a g a r a,,f e d ɨ + g b a m e,,,,,,,,,,,,f o + k ɨ m e,f a + m a g a r a,,,,,,,,,,
2426_535_shin,,,,,,,,,,,,,,,,,ʃ i j e l,,k a l k a l,,m a d e,,,,s a ŋ g a l e,,,,,,,,s a l i o,e n s + a + m a g l a,,,,,,,,,,
2441_609_taste,d ɨ g ɨ m,,t ə g a m,,,,,,,,,,,,,,,,ɗ ɨ mʷ u n,,d ɨ g ɨ m,,,,,,,,,,,,d ɨ g ɨ m,k ɨ r k ɨ m,,,,,,,,,,
2461_10_all,,,,,,,,,,,,,,,,k ə r p ə,,,,,,,,,,,,,,,,,,,,,,,k r ə p,,,,,
2476_335_inside,,,n g u ə n,,,,,,,,,,,,,,,,,,,,,,j a,,,,,,,,n gʷ ɨ n,,,,,,,,,,,
2481_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e j e w,,,,,,,,
2511_244_flow,,,,,,,,,,ʃ i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511_512_run,,,,,,,,,,ʃ i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514_423_napeofneck,,,,,,,m ə t o k o r,,,,m ə t o k o r,,,,,,,,,,,,,,,,,,,m ə t o k o r,,,,,,,,,,,,,,
2520_98_calf,,,,,,,,,,,,,,,,,k ə nː a,,gʱ u l i + e + n s l a,,k ɨ r n a,,,,gʱ u j a + k ɨ s a,,,,,,,,k ɨ r n a,u l o + d a l u,,,,,,,,,,
